part_id	part_name	order_year	total_quantity
1082925	black medium chiffon yellow cornflower	1992	11946.0
396851	metallic plum light turquoise salmon	1992	11413.0
514133	lime plum magenta linen spring	1992	11306.0
1172919	almond purple moccasin ivory light	1992	11020.0
414057	blanched moccasin royal hot light	1992	10649.0
1172919	almond purple moccasin ivory light	1993	41074.0
1082925	black medium chiffon yellow cornflower	1993	38535.0
1910891	wheat black saddle lace frosted	1993	38249.0
396851	metallic plum light turquoise salmon	1993	38179.0
1199652	drab ghost maroon steel snow	1993	37966.0
1172919	almond purple moccasin ivory light	1994	47378.0
1910891	wheat black saddle lace frosted	1994	45077.0
396851	metallic plum light turquoise salmon	1994	44216.0
414057	blanched moccasin royal hot light	1994	43451.0
1082925	black medium chiffon yellow cornflower	1994	42853.0
