region_id	region_name	order_year	order_quarter	total_amount	delta_vs_prev_q
1	AMERICA                  	1995	1	74193.5	
1	AMERICA                  	1995	2	8470760699.37	8470686505.87
1	AMERICA                  	1995	3	2147593085.56	-6323167613.81
1	AMERICA                  	1996	4	574061029.71	-1573532055.85
1	AMERICA                  	1997	1	2298025121.88	1723964092.17
1	AMERICA                  	1997	2	2338014887.83	39989765.95
1	AMERICA                  	1997	3	2355498690.51	17483802.68
1	AMERICA                  	1997	4	2301548951.1	-53949739.41
3	EUROPE                   	1995	4	4397754363.01	
3	EUROPE                   	1996	2	106539609.34	-4291214753.67
3	EUROPE                   	1996	3	5748918816.45	5642379207.11
3	EUROPE                   	1996	4	9493945497.77	3745026681.32
3	EUROPE                   	1997	1	2268403052.69	-7225542445.08
3	EUROPE                   	1997	2	2345002876.48	76599823.79
3	EUROPE                   	1997	3	2368840592.77	23837716.29
3	EUROPE                   	1997	4	2336958796.72	-31881796.05
