part_type	order_year	order_quarter	num_orders	price_stddev
ECONOMY ANODIZED BRASS	1993	3	814	84714.2289
ECONOMY ANODIZED BRASS	1993	4	728	83540.3031
ECONOMY ANODIZED BRASS	1996	4	10	73717.8051
ECONOMY ANODIZED BRASS	1997	1	60	82990.6136
ECONOMY ANODIZED BRASS	1997	2	60	75047.3001
ECONOMY ANODIZED BRASS	1997	3	77	89858.3602
ECONOMY ANODIZED BRASS	1997	4	67	81767.532
ECONOMY ANODIZED BRASS	1998	1	91	88591.2614
ECONOMY ANODIZED BRASS	1998	2	68	89331.0291
ECONOMY ANODIZED BRASS	1998	3	21	95863.5521
ECONOMY ANODIZED COPPER	1993	3	800	84331.5089
ECONOMY ANODIZED COPPER	1993	4	744	81480.9141
ECONOMY ANODIZED COPPER	1996	4	20	79181.5002
ECONOMY ANODIZED COPPER	1997	1	76	80443.69
ECONOMY ANODIZED COPPER	1997	2	67	84508.4354
ECONOMY ANODIZED COPPER	1997	3	76	75415.047
ECONOMY ANODIZED COPPER	1997	4	88	69427.1836
ECONOMY ANODIZED COPPER	1998	1	70	94016.2083
ECONOMY ANODIZED COPPER	1998	2	53	78680.4954
ECONOMY ANODIZED COPPER	1998	3	17	75902.9721
ECONOMY ANODIZED NICKEL	1993	3	819	84140.1939
ECONOMY ANODIZED NICKEL	1993	4	723	83164.7079
ECONOMY ANODIZED NICKEL	1996	4	13	88078.5338
ECONOMY ANODIZED NICKEL	1997	1	79	81762.5622
ECONOMY ANODIZED NICKEL	1997	2	81	76742.134
ECONOMY ANODIZED NICKEL	1997	3	76	83110.7599
ECONOMY ANODIZED NICKEL	1997	4	68	85227.8754
ECONOMY ANODIZED NICKEL	1998	1	68	80070.1273
ECONOMY ANODIZED NICKEL	1998	2	78	78175.6563
ECONOMY ANODIZED NICKEL	1998	3	33	79425.3277
ECONOMY ANODIZED STEEL	1993	3	2051	80803.7719
ECONOMY ANODIZED STEEL	1993	4	1908	85592.7661
ECONOMY ANODIZED STEEL	1996	4	43	76891.9286
ECONOMY ANODIZED STEEL	1997	1	165	80887.1197
ECONOMY ANODIZED STEEL	1997	2	160	73937.8079
ECONOMY ANODIZED STEEL	1997	3	184	87407.4408
ECONOMY ANODIZED STEEL	1997	4	181	84536.748
ECONOMY ANODIZED STEEL	1998	1	165	80020.2085
ECONOMY ANODIZED STEEL	1998	2	176	74579.938
ECONOMY ANODIZED STEEL	1998	3	67	77480.1583
ECONOMY ANODIZED TIN	1993	3	809	86690.0281
ECONOMY ANODIZED TIN	1993	4	707	83710.5482
ECONOMY ANODIZED TIN	1996	4	14	95857.6449
ECONOMY ANODIZED TIN	1997	1	65	75181.9549
ECONOMY ANODIZED TIN	1997	2	63	73529.3152
ECONOMY ANODIZED TIN	1997	3	76	80072.9615
ECONOMY ANODIZED TIN	1997	4	75	84164.36
ECONOMY ANODIZED TIN	1998	1	80	93026.5658
ECONOMY ANODIZED TIN	1998	2	70	84211.6995
ECONOMY ANODIZED TIN	1998	3	25	94297.5343
ECONOMY BRUSHED BRASS	1993	3	795	84471.6943
ECONOMY BRUSHED BRASS	1993	4	663	81982.9426
ECONOMY BRUSHED BRASS	1996	4	15	107512.2178
ECONOMY BRUSHED BRASS	1997	1	60	77322.7323
ECONOMY BRUSHED BRASS	1997	2	55	97005.9032
ECONOMY BRUSHED BRASS	1997	3	66	81312.7293
ECONOMY BRUSHED BRASS	1997	4	70	88707.1691
ECONOMY BRUSHED BRASS	1998	1	70	82973.2432
ECONOMY BRUSHED BRASS	1998	2	75	80440.4619
ECONOMY BRUSHED BRASS	1998	3	24	75750.4437
ECONOMY BRUSHED COPPER	1993	3	883	85187.8423
ECONOMY BRUSHED COPPER	1993	4	651	85222.0743
ECONOMY BRUSHED COPPER	1996	4	18	62119.1172
ECONOMY BRUSHED COPPER	1997	1	75	78823.1613
