part_id	part_name	order_year	total_quantity
432868	metallic goldenrod bisque maroon midnight	1992	289.0
68628	peru blanched rosy turquoise burlywood	1992	287.0
43283	orange cornflower coral orchid spring	1992	281.0
1544823	light steel frosted navy salmon	1992	260.0
891046	orange tan goldenrod deep orchid	1992	259.0
1623809	seashell aquamarine goldenrod chiffon white	1993	288.0
328520	cream navy drab frosted indian	1993	271.0
1499237	white ghost grey coral peru	1993	266.0
1220190	thistle salmon lace mint dim	1993	259.0
1094201	chocolate goldenrod violet sandy light	1993	258.0
1270128	wheat sienna linen hot spring	1994	293.0
1420829	orchid royal chartreuse tomato dodger	1994	273.0
1734798	cyan pale maroon linen rosy	1994	270.0
1203480	magenta honeydew lavender orange tan	1994	267.0
117841	slate tan dodger sienna cream	1994	263.0
