part_type	total_quantity
ECONOMY ANODIZED COPPER	10502462.0
MEDIUM ANODIZED TIN	10480191.0
ECONOMY PLATED STEEL	10461066.0
ECONOMY BRUSHED COPPER	10460635.0
PROMO POLISHED BRASS	10419921.0
MEDIUM BRUSHED TIN	10391013.0
LARGE ANODIZED COPPER	10390752.0
LARGE BURNISHED NICKEL	10380736.0
LARGE POLISHED COPPER	10365480.0
STANDARD PLATED BRASS	10348904.0
SMALL ANODIZED COPPER	10343058.0
ECONOMY BURNISHED TIN	10338637.0
ECONOMY BURNISHED BRASS	10336216.0
MEDIUM BURNISHED STEEL	10330924.0
SMALL POLISHED NICKEL	10330541.0
