customer_id	customer_name	order_year	order_quarter	total_amount	yoy_percent_change
120229	Customer#000120229	1997	1	614171.24	59858.92
603082	Customer#000603082	1993	4	551469.9	58042.49
735502	Customer#000735502	1997	2	726406.34	57314.8
1277431	Customer#001277431	1995	1	657890.86	51226.75
1130572	Customer#001130572	1996	3	501687.97	47331.08
1362385	Customer#001362385	1994	3	517773.16	45622.31
499997	Customer#000499997	1997	2	484018.65	45146.38
260956	Customer#000260956	1994	2	468747.6	44376.58
1236967	Customer#001236967	1996	4	451966.62	43417.33
372322	Customer#000372322	1994	3	574925.34	40926.83
999907	Customer#000999907	1995	2	743470.28	40380.35
956807	Customer#000956807	1996	3	407350.09	40279.67
719479	Customer#000719479	1994	3	511428.88	39639.3
381742	Customer#000381742	1994	4	706070.77	39014.03
1239718	Customer#001239718	1995	3	440718.78	38876.83
890600	Customer#000890600	1998	1	455801.03	38743.48
113347	Customer#000113347	1994	2	488841.25	37575.34
1326766	Customer#001326766	1997	2	637222.75	36463.37
1410271	Customer#001410271	1993	4	605599.82	36095.19
1459174	Customer#001459174	1993	1	518114.47	35559.73
