region_id	region_name	order_year	order_quarter	total_amount	delta_vs_prev_q
1	AMERICA	1995	1	16995353876.06	
1	AMERICA	1995	2	17095553552.02	100199675.96
1	AMERICA	1995	3	17325691593.93	230138041.91
1	AMERICA	1995	4	17238173221.3	-87518372.63
1	AMERICA	1996	1	17114994362.4	-123178858.9
1	AMERICA	1996	2	17124538885.97	9544523.57
1	AMERICA	1996	3	17275765942.5	151227056.53
1	AMERICA	1996	4	17336814561.27	61048618.77
1	AMERICA	1997	1	16960364305.37	-376450255.9
1	AMERICA	1997	2	17094734239.4	134369934.03
1	AMERICA	1997	3	17413682253.27	318948013.87
1	AMERICA	1997	4	17259183407.12	-154498846.15
3	EUROPE	1995	1	17009997297.08	
3	EUROPE	1995	2	17085333077.25	75335780.17
3	EUROPE	1995	3	17387186445.72	301853368.47
3	EUROPE	1995	4	17317465538.37	-69720907.35
3	EUROPE	1996	1	17258925758.17	-58539780.2
3	EUROPE	1996	2	17089946682.73	-168979075.44
3	EUROPE	1996	3	17372349624.43	282402941.7
3	EUROPE	1996	4	17364458997.49	-7890626.94
3	EUROPE	1997	1	17032761474.09	-331697523.4
3	EUROPE	1997	2	17220688548.68	187927074.59
3	EUROPE	1997	3	17321356538.09	100667989.41
3	EUROPE	1997	4	17305915355.06	-15441183.03
