nation_id	nation_name	supplier_id	supplier_name	order_year	total_quantity	ranking
6	FRANCE	24286	Supplier#000024286	1992	3532.0	1
6	FRANCE	89713	Supplier#000089713	1992	3275.0	2
6	FRANCE	3153	Supplier#000003153	1992	3244.0	3
6	FRANCE	79942	Supplier#000079942	1993	3543.0	1
6	FRANCE	14312	Supplier#000014312	1993	3396.0	2
6	FRANCE	58605	Supplier#000058605	1993	3309.0	3
6	FRANCE	72415	Supplier#000072415	1994	3315.0	1
6	FRANCE	87744	Supplier#000087744	1994	3314.0	2
6	FRANCE	88683	Supplier#000088683	1994	3274.0	3
6	FRANCE	90357	Supplier#000090357	1995	3599.0	1
6	FRANCE	53118	Supplier#000053118	1995	3402.0	2
6	FRANCE	69998	Supplier#000069998	1995	3395.0	3
6	FRANCE	46552	Supplier#000046552	1996	3396.0	1
6	FRANCE	20589	Supplier#000020589	1996	3349.0	2
6	FRANCE	5571	Supplier#000005571	1996	3293.0	3
6	FRANCE	25985	Supplier#000025985	1997	3303.0	1
6	FRANCE	83067	Supplier#000083067	1997	3289.0	2
6	FRANCE	92282	Supplier#000092282	1997	3271.0	3
6	FRANCE	98682	Supplier#000098682	1998	2321.0	1
6	FRANCE	39279	Supplier#000039279	1998	2134.0	2
6	FRANCE	71892	Supplier#000071892	1998	2106.0	3
7	GERMANY	19024	Supplier#000019024	1992	3323.0	1
7	GERMANY	46655	Supplier#000046655	1992	3318.0	2
7	GERMANY	38200	Supplier#000038200	1992	3229.0	3
7	GERMANY	42800	Supplier#000042800	1993	3228.0	1
7	GERMANY	17242	Supplier#000017242	1993	3215.0	2
7	GERMANY	81893	Supplier#000081893	1993	3213.0	3
7	GERMANY	35097	Supplier#000035097	1994	3596.0	1
7	GERMANY	55293	Supplier#000055293	1994	3237.0	2
7	GERMANY	76753	Supplier#000076753	1994	3219.0	3
7	GERMANY	27212	Supplier#000027212	1995	3265.0	1
7	GERMANY	13717	Supplier#000013717	1995	3249.0	2
7	GERMANY	89704	Supplier#000089704	1995	3227.0	3
7	GERMANY	46318	Supplier#000046318	1996	3227.0	1
7	GERMANY	25029	Supplier#000025029	1996	3195.0	2
7	GERMANY	78924	Supplier#000078924	1996	3147.0	3
7	GERMANY	40549	Supplier#000040549	1996	3147.0	3
7	GERMANY	22754	Supplier#000022754	1997	3609.0	1
7	GERMANY	51984	Supplier#000051984	1997	3422.0	2
7	GERMANY	24591	Supplier#000024591	1997	3377.0	3
7	GERMANY	76335	Supplier#000076335	1998	2063.0	1
7	GERMANY	19099	Supplier#000019099	1998	2062.0	2
7	GERMANY	39452	Supplier#000039452	1998	2059.0	3
19	ROMANIA	19619	Supplier#000019619	1992	3393.0	1
19	ROMANIA	41484	Supplier#000041484	1992	3358.0	2
19	ROMANIA	43156	Supplier#000043156	1992	3319.0	3
19	ROMANIA	95239	Supplier#000095239	1993	3394.0	1
19	ROMANIA	51196	Supplier#000051196	1993	3344.0	2
19	ROMANIA	45439	Supplier#000045439	1993	3270.0	3
19	ROMANIA	89424	Supplier#000089424	1994	3508.0	1
19	ROMANIA	81484	Supplier#000081484	1994	3349.0	2
19	ROMANIA	69661	Supplier#000069661	1994	3316.0	3
19	ROMANIA	80590	Supplier#000080590	1995	3351.0	1
19	ROMANIA	35360	Supplier#000035360	1995	3348.0	2
19	ROMANIA	96743	Supplier#000096743	1995	3317.0	3
19	ROMANIA	70651	Supplier#000070651	1995	3317.0	3
19	ROMANIA	48451	Supplier#000048451	1996	3434.0	1
19	ROMANIA	23381	Supplier#000023381	1996	3277.0	2
19	ROMANIA	73826	Supplier#000073826	1996	3253.0	3
19	ROMANIA	19056	Supplier#000019056	1997	3444.0	1
19	ROMANIA	14758	Supplier#000014758	1997	3372.0	2
19	ROMANIA	52277	Supplier#000052277	1997	3280.0	3
19	ROMANIA	34096	Supplier#000034096	1998	2166.0	1
19	ROMANIA	69842	Supplier#000069842	1998	2153.0	2
19	ROMANIA	26093	Supplier#000026093	1998	2132.0	3
22	RUSSIA	91919	Supplier#000091919	1992	3383.0	1
22	RUSSIA	37302	Supplier#000037302	1992	3308.0	2
22	RUSSIA	64854	Supplier#000064854	1992	3306.0	3
22	RUSSIA	72557	Supplier#000072557	1993	3449.0	1
22	RUSSIA	5610	Supplier#000005610	1993	3366.0	2
22	RUSSIA	42319	Supplier#000042319	1993	3273.0	3
22	RUSSIA	72167	Supplier#000072167	1994	3378.0	1
22	RUSSIA	48793	Supplier#000048793	1994	3263.0	2
22	RUSSIA	25079	Supplier#000025079	1994	3252.0	3
22	RUSSIA	63353	Supplier#000063353	1995	3278.0	1
22	RUSSIA	9249	Supplier#000009249	1995	3226.0	2
22	RUSSIA	9661	Supplier#000009661	1995	3217.0	3
22	RUSSIA	9322	Supplier#000009322	1996	3404.0	1
22	RUSSIA	81669	Supplier#000081669	1996	3400.0	2
22	RUSSIA	50516	Supplier#000050516	1996	3273.0	3
22	RUSSIA	50716	Supplier#000050716	1997	3437.0	1
22	RUSSIA	90138	Supplier#000090138	1997	3410.0	2
22	RUSSIA	24489	Supplier#000024489	1997	3350.0	3
22	RUSSIA	50326	Supplier#000050326	1998	2240.0	1
22	RUSSIA	50631	Supplier#000050631	1998	2153.0	2
22	RUSSIA	30827	Supplier#000030827	1998	2136.0	3
23	UNITED KINGDOM	33359	Supplier#000033359	1992	3512.0	1
23	UNITED KINGDOM	3538	Supplier#000003538	1992	3321.0	2
23	UNITED KINGDOM	62780	Supplier#000062780	1992	3253.0	3
23	UNITED KINGDOM	31828	Supplier#000031828	1993	3480.0	1
23	UNITED KINGDOM	50514	Supplier#000050514	1993	3324.0	2
23	UNITED KINGDOM	74915	Supplier#000074915	1993	3237.0	3
23	UNITED KINGDOM	11177	Supplier#000011177	1994	3286.0	1
23	UNITED KINGDOM	21008	Supplier#000021008	1994	3239.0	2
23	UNITED KINGDOM	55412	Supplier#000055412	1994	3239.0	2
23	UNITED KINGDOM	41474	Supplier#000041474	1994	3212.0	3
23	UNITED KINGDOM	1721	Supplier#000001721	1995	3513.0	1
23	UNITED KINGDOM	48697	Supplier#000048697	1995	3453.0	2
23	UNITED KINGDOM	32870	Supplier#000032870	1995	3389.0	3
23	UNITED KINGDOM	16518	Supplier#000016518	1996	3479.0	1
23	UNITED KINGDOM	46223	Supplier#000046223	1996	3383.0	2
23	UNITED KINGDOM	23487	Supplier#000023487	1996	3332.0	3
23	UNITED KINGDOM	79530	Supplier#000079530	1997	3449.0	1
23	UNITED KINGDOM	22948	Supplier#000022948	1997	3435.0	2
23	UNITED KINGDOM	59241	Supplier#000059241	1997	3333.0	3
23	UNITED KINGDOM	81467	Supplier#000081467	1998	2204.0	1
23	UNITED KINGDOM	98155	Supplier#000098155	1998	2193.0	2
23	UNITED KINGDOM	39180	Supplier#000039180	1998	2170.0	3
