part_type	order_year	order_quarter	num_orders	price_stddev
ECONOMY ANODIZED BRASS	1992	1	639	82650.7552
ECONOMY ANODIZED BRASS	1992	2	627	84217.6007
ECONOMY ANODIZED BRASS	1992	3	626	83655.19
ECONOMY ANODIZED BRASS	1992	4	620	81068.4
ECONOMY ANODIZED BRASS	1993	1	614	80392.5329
ECONOMY ANODIZED BRASS	1993	2	570	83304.8363
ECONOMY ANODIZED BRASS	1993	3	588	78800.6717
ECONOMY ANODIZED BRASS	1993	4	594	85133.8238
ECONOMY ANODIZED BRASS	1994	1	567	82119.3287
ECONOMY ANODIZED BRASS	1994	2	630	82534.3139
ECONOMY ANODIZED BRASS	1994	3	625	79845.0705
ECONOMY ANODIZED BRASS	1994	4	600	82260.4967
ECONOMY ANODIZED BRASS	1995	1	590	83691.6516
ECONOMY ANODIZED BRASS	1995	2	601	81995.0132
ECONOMY ANODIZED BRASS	1995	3	671	84587.193
ECONOMY ANODIZED BRASS	1995	4	630	84892.9431
ECONOMY ANODIZED BRASS	1996	1	586	82608.3027
ECONOMY ANODIZED BRASS	1996	2	611	82907.8152
ECONOMY ANODIZED BRASS	1996	3	609	86080.317
ECONOMY ANODIZED BRASS	1996	4	592	84255.2604
ECONOMY ANODIZED BRASS	1997	1	574	87085.2552
ECONOMY ANODIZED BRASS	1997	2	604	83127.3558
ECONOMY ANODIZED BRASS	1997	3	626	82084.1719
ECONOMY ANODIZED BRASS	1997	4	605	83789.7067
ECONOMY ANODIZED BRASS	1998	1	653	84204.7922
ECONOMY ANODIZED BRASS	1998	2	615	86611.4525
ECONOMY ANODIZED BRASS	1998	3	220	86718.1889
ECONOMY ANODIZED COPPER	1992	1	680	85218.8348
ECONOMY ANODIZED COPPER	1992	2	617	83821.0188
ECONOMY ANODIZED COPPER	1992	3	620	83775.3829
ECONOMY ANODIZED COPPER	1992	4	596	83811.6595
ECONOMY ANODIZED COPPER	1993	1	612	82713.6113
ECONOMY ANODIZED COPPER	1993	2	595	82150.8763
ECONOMY ANODIZED COPPER	1993	3	654	86342.3663
ECONOMY ANODIZED COPPER	1993	4	604	82102.524
ECONOMY ANODIZED COPPER	1994	1	642	82234.9183
ECONOMY ANODIZED COPPER	1994	2	672	80727.7259
ECONOMY ANODIZED COPPER	1994	3	601	82591.3306
ECONOMY ANODIZED COPPER	1994	4	658	79958.8295
ECONOMY ANODIZED COPPER	1995	1	632	85507.5504
ECONOMY ANODIZED COPPER	1995	2	650	80895.3576
ECONOMY ANODIZED COPPER	1995	3	630	85173.5204
ECONOMY ANODIZED COPPER	1995	4	651	85828.2241
ECONOMY ANODIZED COPPER	1996	1	617	80366.5588
ECONOMY ANODIZED COPPER	1996	2	659	83276.5625
ECONOMY ANODIZED COPPER	1996	3	679	80375.1989
ECONOMY ANODIZED COPPER	1996	4	613	87037.4339
ECONOMY ANODIZED COPPER	1997	1	632	79910.82
ECONOMY ANODIZED COPPER	1997	2	601	85031.1995
ECONOMY ANODIZED COPPER	1997	3	631	83472.2106
ECONOMY ANODIZED COPPER	1997	4	591	78829.5889
ECONOMY ANODIZED COPPER	1998	1	615	84354.7331
ECONOMY ANODIZED COPPER	1998	2	579	83905.1566
ECONOMY ANODIZED COPPER	1998	3	183	88878.2621
ECONOMY ANODIZED NICKEL	1992	1	635	82118.2221
ECONOMY ANODIZED NICKEL	1992	2	621	82051.5882
ECONOMY ANODIZED NICKEL	1992	3	603	85366.5975
ECONOMY ANODIZED NICKEL	1992	4	636	84654.7539
ECONOMY ANODIZED NICKEL	1993	1	622	83926.7689
