customer_id	customer_name	order_year	order_quarter	total_amount	yoy_percent_change
555196	Customer#000555196	1998	2	323656.08	7153.3
1207921	Customer#001207921	1998	1	376682.51	6064.27
1082827	Customer#001082827	1998	2	432521.76	4242.19
383299	Customer#000383299	1998	3	128246.57	3573.99
120961	Customer#000120961	1998	1	115749.44	2305.34
159391	Customer#000159391	1998	1	202211.93	2156.59
832486	Customer#000832486	1998	1	230686.82	1977.49
1373854	Customer#001373854	1998	1	80005.42	1714.59
1206235	Customer#001206235	1998	2	222733.22	1628.7
570805	Customer#000570805	1998	1	303990.04	1375.11
294604	Customer#000294604	1998	2	272633.18	1090.33
1478818	Customer#001478818	1998	3	172576.63	986.39
1191352	Customer#001191352	1998	2	236146.86	940.57
51526	Customer#000051526	1998	2	374673.6	921.61
1152016	Customer#001152016	1997	4	201331.05	861.63
1048015	Customer#001048015	1997	4	235856.04	856.7
121858	Customer#000121858	1998	1	177076.71	759.2
661282	Customer#000661282	1998	2	184638.61	737.94
859234	Customer#000859234	1998	3	114247.78	735.49
1083283	Customer#001083283	1998	1	216314.38	715.77
