region_id	region_name	order_year	market_segment	num_orders	pct_of_total
0	AFRICA                   	1992	HOUSEHOLD 	123912	86.12
0	AFRICA                   	1992	MACHINERY 	19963	13.88
0	AFRICA                   	1993	AUTOMOBILE	11016	99.99
0	AFRICA                   	1993	HOUSEHOLD 	1	0.01
0	AFRICA                   	1994	MACHINERY 	29601	46.23
0	AFRICA                   	1994	AUTOMOBILE	20653	32.26
0	AFRICA                   	1994	HOUSEHOLD 	13771	21.51
0	AFRICA                   	1995	MACHINERY 	57138	72.17
0	AFRICA                   	1995	HOUSEHOLD 	13081	16.52
0	AFRICA                   	1995	FURNITURE 	8949	11.3
0	AFRICA                   	1996	BUILDING  	63402	56.39
0	AFRICA                   	1996	HOUSEHOLD 	46906	41.72
0	AFRICA                   	1996	FURNITURE 	741	0.66
0	AFRICA                   	1996	AUTOMOBILE	712	0.63
0	AFRICA                   	1996	MACHINERY 	682	0.61
0	AFRICA                   	1997	AUTOMOBILE	12428	20.31
0	AFRICA                   	1997	BUILDING  	12313	20.13
0	AFRICA                   	1997	MACHINERY 	12215	19.97
0	AFRICA                   	1997	HOUSEHOLD 	12134	19.83
0	AFRICA                   	1997	FURNITURE 	12092	19.76
0	AFRICA                   	1998	HOUSEHOLD 	7368	20.5
0	AFRICA                   	1998	AUTOMOBILE	7279	20.25
0	AFRICA                   	1998	BUILDING  	7151	19.9
0	AFRICA                   	1998	MACHINERY 	7154	19.9
0	AFRICA                   	1998	FURNITURE 	6991	19.45
1	AMERICA                  	1992	FURNITURE 	64710	100.0
1	AMERICA                  	1993	MACHINERY 	1	100.0
1	AMERICA                  	1994	BUILDING  	23405	100.0
1	AMERICA                  	1995	MACHINERY 	50943	72.55
1	AMERICA                  	1995	BUILDING  	15833	22.55
1	AMERICA                  	1995	AUTOMOBILE	3442	4.9
1	AMERICA                  	1996	AUTOMOBILE	784	20.69
1	AMERICA                  	1996	FURNITURE 	753	19.87
1	AMERICA                  	1996	BUILDING  	752	19.84
1	AMERICA                  	1996	MACHINERY 	751	19.82
1	AMERICA                  	1996	HOUSEHOLD 	750	19.79
1	AMERICA                  	1997	MACHINERY 	12442	20.16
1	AMERICA                  	1997	FURNITURE 	12358	20.02
1	AMERICA                  	1997	AUTOMOBILE	12333	19.98
1	AMERICA                  	1997	BUILDING  	12320	19.96
1	AMERICA                  	1997	HOUSEHOLD 	12272	19.88
1	AMERICA                  	1998	AUTOMOBILE	7364	20.41
1	AMERICA                  	1998	MACHINERY 	7219	20.0
1	AMERICA                  	1998	HOUSEHOLD 	7192	19.93
1	AMERICA                  	1998	BUILDING  	7190	19.92
1	AMERICA                  	1998	FURNITURE 	7124	19.74
2	ASIA                     	1992	BUILDING  	18587	99.99
2	ASIA                     	1992	HOUSEHOLD 	1	0.01
2	ASIA                     	1993	HOUSEHOLD 	66775	100.0
2	ASIA                     	1993	BUILDING  	1	0.0
2	ASIA                     	1994	AUTOMOBILE	56449	74.14
2	ASIA                     	1994	BUILDING  	19693	25.86
2	ASIA                     	1994	MACHINERY 	1	0.0
2	ASIA                     	1995	MACHINERY 	45436	43.7
2	ASIA                     	1995	BUILDING  	38823	37.34
2	ASIA                     	1995	HOUSEHOLD 	19715	18.96
2	ASIA                     	1995	AUTOMOBILE	1	0.0
2	ASIA                     	1996	HOUSEHOLD 	22348	88.44
2	ASIA                     	1996	FURNITURE 	769	3.04
2	ASIA                     	1996	MACHINERY 	753	2.98
2	ASIA                     	1996	AUTOMOBILE	701	2.77
2	ASIA                     	1996	BUILDING  	697	2.76
2	ASIA                     	1997	AUTOMOBILE	12468	20.22
2	ASIA                     	1997	FURNITURE 	12452	20.19
2	ASIA                     	1997	MACHINERY 	12342	20.02
2	ASIA                     	1997	BUILDING  	12309	19.96
2	ASIA                     	1997	HOUSEHOLD 	12090	19.61
2	ASIA                     	1998	BUILDING  	7400	20.3
