nation_id	nation_name	supplier_id	supplier_name	order_year	total_quantity	ranking
6	FRANCE                   	104	Supplier#000000104       	1992	145265.0	1
6	FRANCE                   	98640	Supplier#000098640       	1992	144742.0	2
6	FRANCE                   	22635	Supplier#000022635       	1992	701.0	3
6	FRANCE                   	104	Supplier#000000104       	1993	155985.0	1
6	FRANCE                   	98640	Supplier#000098640       	1993	140662.0	2
6	FRANCE                   	53674	Supplier#000053674       	1993	673.0	3
6	FRANCE                   	104	Supplier#000000104       	1994	160925.0	1
6	FRANCE                   	98640	Supplier#000098640       	1994	146525.0	2
6	FRANCE                   	66231	Supplier#000066231       	1994	705.0	3
6	FRANCE                   	104	Supplier#000000104       	1995	148652.0	1
6	FRANCE                   	98640	Supplier#000098640       	1995	137354.0	2
6	FRANCE                   	99686	Supplier#000099686       	1995	606.0	3
6	FRANCE                   	104	Supplier#000000104       	1996	152259.0	1
6	FRANCE                   	98640	Supplier#000098640       	1996	146492.0	2
6	FRANCE                   	11622	Supplier#000011622       	1996	666.0	3
6	FRANCE                   	104	Supplier#000000104       	1997	150305.0	1
6	FRANCE                   	98640	Supplier#000098640       	1997	142735.0	2
6	FRANCE                   	15121	Supplier#000015121       	1997	648.0	3
6	FRANCE                   	104	Supplier#000000104       	1998	88877.0	1
6	FRANCE                   	98640	Supplier#000098640       	1998	82629.0	2
6	FRANCE                   	21574	Supplier#000021574       	1998	616.0	3
7	GERMANY                  	38392	Supplier#000038392       	1992	33611.0	1
7	GERMANY                  	42983	Supplier#000042983       	1992	705.0	2
7	GERMANY                  	28915	Supplier#000028915       	1992	626.0	3
7	GERMANY                  	38392	Supplier#000038392       	1993	32093.0	1
7	GERMANY                  	17294	Supplier#000017294       	1993	657.0	2
7	GERMANY                  	27064	Supplier#000027064       	1993	621.0	3
7	GERMANY                  	38392	Supplier#000038392       	1994	32246.0	1
7	GERMANY                  	98458	Supplier#000098458       	1994	622.0	2
7	GERMANY                  	14906	Supplier#000014906       	1994	609.0	3
7	GERMANY                  	38392	Supplier#000038392       	1995	29225.0	1
7	GERMANY                  	45596	Supplier#000045596       	1995	614.0	2
7	GERMANY                  	48865	Supplier#000048865       	1995	586.0	3
7	GERMANY                  	38392	Supplier#000038392       	1996	33737.0	1
7	GERMANY                  	21122	Supplier#000021122       	1996	618.0	2
7	GERMANY                  	67221	Supplier#000067221       	1996	588.0	3
7	GERMANY                  	38392	Supplier#000038392       	1997	32733.0	1
7	GERMANY                  	49175	Supplier#000049175       	1997	732.0	2
7	GERMANY                  	52614	Supplier#000052614       	1997	626.0	3
7	GERMANY                  	38392	Supplier#000038392       	1998	20240.0	1
7	GERMANY                  	19192	Supplier#000019192       	1998	481.0	2
7	GERMANY                  	3687	Supplier#000003687       	1998	470.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1992	99082.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1992	61303.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1992	51115.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1993	96611.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1993	60721.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1993	51751.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1994	94447.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1994	62893.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1994	50859.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1995	95067.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1995	63074.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1995	46645.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1996	99450.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1996	61179.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1996	50211.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1997	100279.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1997	64062.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1997	50588.0	3
19	ROMANIA                  	51030	Supplier#000051030       	1998	60061.0	1
19	ROMANIA                  	53806	Supplier#000053806       	1998	36910.0	2
19	ROMANIA                  	9351	Supplier#000009351       	1998	29280.0	3
22	RUSSIA                   	13811	Supplier#000013811       	1992	143154.0	1
22	RUSSIA                   	6315	Supplier#000006315       	1992	662.0	2
22	RUSSIA                   	36167	Supplier#000036167       	1992	643.0	3
22	RUSSIA                   	13811	Supplier#000013811       	1993	140024.0	1
22	RUSSIA                   	78262	Supplier#000078262       	1993	636.0	2
22	RUSSIA                   	84403	Supplier#000084403       	1993	601.0	3
22	RUSSIA                   	13811	Supplier#000013811       	1994	148533.0	1
22	RUSSIA                   	87697	Supplier#000087697       	1994	634.0	2
22	RUSSIA                   	98282	Supplier#000098282       	1994	612.0	3
22	RUSSIA                   	13811	Supplier#000013811       	1995	149429.0	1
22	RUSSIA                   	94434	Supplier#000094434       	1995	625.0	2
22	RUSSIA                   	75022	Supplier#000075022       	1995	596.0	3
